source_file,simulation_id,scan_point,thickness[µm],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
thickness.iv,2,38,0.5408,0.60843,26.3140855,5.96121194,33.0347316,0.475311428,5.34377381,0.128652014,0.0134746886,0.471037736,0.00427369147,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,39,0.5408,0.631691,25.6618803,6.59341643,33.0347316,0.616308635,5.83497596,0.128656413,0.0134754165,0.61077183,0.00553680482,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,40,0.5408,0.656682,24.6635552,7.57173899,33.0347316,0.829768133,6.59983359,0.128660977,0.0134762873,0.822108317,0.00765981629,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,41,0.5408,0.684686,23.0627419,9.15254967,33.0347316,1.15231903,7.85808731,0.128665873,0.0134774581,1.14095675,0.0113622845,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,42,0.5408,0.717668,20.4664485,11.7288388,33.0347316,1.62926966,9.95741856,0.128671373,0.0134791914,1.61147004,0.0177996112,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,43,0.5408,0.758023,16.3953366,15.7799566,33.0347316,2.2996179,13.338179,0.128677837,0.0134818825,2.27117945,0.0284384534,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,44,0.5408,0.807409,10.5181846,21.6370835,33.0347316,3.16326192,18.33165,0.128685554,0.0134860291,3.11893668,0.0443252412,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,45,0.5408,0.864819,3.0362459,29.0987558,33.0347316,4.148922,24.8076472,0.12869452,0.0134921064,4.08407567,0.0648463227,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,46,0.5408,0.925678,-5.13554772,37.2512603,33.0347316,5.12438062,31.984675,0.128704171,0.0135004977,5.03713331,0.087247307,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
thickness.iv,2,47,0.5408,0.983701,-12.7401529,44.8351324,33.0347316,5.95584965,38.7370581,0.128713296,0.0135112851,5.84817785,0.107671804,0.0,0.887647,30.56468903,59.7493,16.2104,0.631691,25.66188028
