source_file,simulation_id,scan_point,band gap[eV],electron affinity[eV],v(V),jtot(mA/cm2),j_total_rec(mA/cm2),j_total_gen(mA/cm2),jbulk(mA/cm2),jifr(mA/cm2),jminor_left(mA/cm2),jminor_right(mA/cm2),j_SRH(mA/cm2),j_Radiative(mA/cm2),j_Auger(mA/cm2),Voc,Jsc,FF,eta,V_MPP,J_MPP
bandGap+ElectronAffinity.iv,2,25,1.2,4.066,0.324223,31.1553738,3.11976489,34.7682332,0.161812801,2.79989965,0.128790376,0.0292620634,0.158619656,0.00319314535,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,26,1.2,4.066,0.344982,31.0036933,3.25144474,34.7682332,0.175843021,2.91753643,0.128802378,0.0292629058,0.172304821,0.00353820064,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,27,1.2,4.066,0.365864,30.82715,3.40798746,34.7682332,0.192741939,3.05716721,0.128814556,0.0292637558,0.188807992,0.00393394707,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,28,1.2,4.066,0.386938,30.6124647,3.60267217,34.7682332,0.213599626,3.23098098,0.128826919,0.0292646447,0.209208512,0.00439111395,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,29,1.2,4.066,0.408318,30.3364647,3.85867073,34.7682332,0.24005223,3.46051341,0.128839473,0.0292656262,0.235127547,0.00492468216,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,30,1.2,4.066,0.430208,29.9584546,4.21667938,34.7682332,0.274558481,3.78400189,0.128852221,0.0292667931,0.269001523,0.00555695811,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,31,1.2,4.066,0.452964,29.4072209,4.74791156,34.7682332,0.320794813,4.26898328,0.128865158,0.029268309,0.314471433,0.00632338007,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,32,1.2,4.066,0.477199,28.5601466,5.57498426,34.7682332,0.384172649,5.03266288,0.128878267,0.0292704606,0.376889481,0.0072831681,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,33,1.2,4.066,0.503934,27.2132847,6.90184049,34.7682332,0.47236748,6.27130776,0.128891506,0.0292737451,0.463830217,0.0085372635,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,34,1.2,4.066,0.534756,25.0488625,9.04627873,34.7682332,0.595415135,8.29267979,0.128904793,0.0292790093,0.585161793,0.010253342,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,35,1.2,4.066,0.571853,21.6293902,12.4457491,34.7682332,0.764210509,11.523333,0.128917992,0.0292875968,0.751531218,0.0126792911,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
bandGap+ElectronAffinity.iv,2,36,1.2,4.066,0.617563,16.4874053,17.5677289,34.7682332,0.985439227,16.4240573,0.128930862,0.0293015242,0.969340951,0.0160982763,0.0,0.741823,32.53888716,56.8135,13.7137,0.503934,27.21328474
